table_name,table,labels,domain,domains,page_title,section_title,headers
14102828-1,"[[[[0, 3], [5550108, 'David Kirschner']], [[1, 3], [5550108, 'David Kirschner']], [[2, 3], [4471899, 'David Kirschner Robert Latham Brown']]]]",[['tv.tv_producer']],film,"{'film', 'tv', 'people'}",child's play (film series),films,['producer(s)']
26426718-2,"[[[[1, 0], [72758, 'BBC Radio 4']], [[2, 0], [72758, 'BBC Radio 4']], [[4, 0], [72758, 'BBC Radio 4']], [[5, 0], [72758, 'BBC Radio 4']], [[6, 0], [72758, 'BBC Radio 4']]]]","[['broadcast.radio_station', 'broadcast.broadcast']]",broadcast,"{'broadcast', 'organization'}",shannon flynn,radio,['station']
264361-1,"[[[[0, 0], [4331, 'Book of Joshua']], [[1, 0], [4377, 'Book of Judges']], [[2, 0], [4378, 'Books of Samuel']], [[3, 0], [4380, 'Books of Kings']], [[4, 0], [4364, 'Book of Isaiah']], [[5, 0], [4363, 'Book of Jeremiah']], [[6, 0], [4390, 'Book of Ezekiel']], [[7, 0], [4449, 'Book of Hosea']], [[8, 0], [4447, 'Book of Joel']], [[9, 0], [1726, 'Book of Amos']], [[10, 0], [4450, 'Book of Obadiah']], [[11, 0], [4451, 'Book of Jonah']], [[12, 0], [4452, 'Book of Micah']], [[13, 0], [4453, 'Book of Nahum']], [[14, 0], [4458, 'Book of Habakkuk']], [[15, 0], [4457, 'Book of Zephaniah']], [[16, 0], [4454, 'Book of Haggai']], [[17, 0], [4456, 'Book of Zechariah']], [[18, 0], [4455, 'Book of Malachi']]]]",[['book.written_work']],book,{'book'},dating the bible,nevi'im (prophets),"[""book of nevi'im""]"
264361-2,"[[[[0, 0], [24203, 'Psalms']], [[1, 0], [4388, 'Book of Proverbs']], [[2, 0], [4386, 'Book of Job']], [[3, 0], [28582, 'Song of Songs or Song of Solomon']], [[4, 0], [4381, 'Book of Ruth']], [[5, 0], [4389, 'Lamentations']], [[6, 0], [9910, 'Ecclesiastes']], [[7, 0], [4382, 'Book of Esther']], [[8, 0], [4333, 'Book of Daniel']], [[9, 0], [4332, 'Book of Ezra - Book of Nehemiah']], [[10, 0], [4319, 'Chronicles']]]]","[['book.written_work', 'book.book']]",book,{'book'},dating the bible,ketuvim (writings),['book of ketuvim']
26442473-10,"[[[[0, 0], [31648410, '1979-80']], [[1, 0], [31648274, '1978-79']], [[2, 0], [31648231, '1977-78']], [[3, 0], [31648180, '1976-77']], [[4, 0], [31648043, '1975-76']], [[5, 0], [31647924, '1974-75']], [[6, 0], [16946269, '1973-74']], [[7, 0], [16946156, '1972-73']], [[8, 0], [16946097, '1971-72']], [[9, 0], [16275352, '1970-71']]], [[[0, 1], [2323606, 'WWWE']], [[1, 1], [2323606, 'WWWE']], [[2, 1], [2323606, 'WWWE']], [[3, 1], [2323606, 'WWWE']], [[4, 1], [2323606, 'WWWE']], [[5, 1], [2323606, 'WWWE']], [[6, 1], [2323606, 'WWWE']], [[7, 1], [2323606, 'WWWE']], [[8, 1], [2323606, 'WWWE']], [[9, 1], [2323606, 'WWWE']]]]","[['time.event'], ['broadcast.radio_station', 'broadcast.broadcast']]",broadcast,"{'people', 'broadcast', 'time'}",list of cleveland cavaliers broadcasters,1970s,"['year', 'channel']"
26442473-5,"[[[[0, 0], [31648410, '1979-80']], [[1, 0], [31648274, '1978-79']], [[2, 0], [31648231, '1977-78']], [[3, 0], [31648180, '1976-77']], [[4, 0], [31648043, '1975-76']], [[5, 0], [31647924, '1974-75']], [[6, 0], [16946269, '1973-74']], [[7, 0], [16946156, '1972-73']], [[8, 0], [16946097, '1971-72']], [[9, 0], [16275352, '1970-71']]], [[[0, 1], [1564793, 'WUAB-TV']], [[1, 1], [1564793, 'WUAB-TV']], [[2, 1], [1564793, 'WUAB-TV']], [[3, 1], [1564793, 'WUAB-TV']], [[4, 1], [1564793, 'WUAB-TV']], [[5, 1], [1564793, 'WUAB-TV']], [[6, 1], [1564793, 'WUAB-TV']], [[7, 1], [377211, 'WEWS-TV']], [[8, 1], [377211, 'WEWS-TV']], [[9, 1], [377211, 'WEWS-TV']]]]","[['time.event'], ['broadcast.tv_station', 'broadcast.broadcast']]",broadcast,"{'people', 'broadcast', 'time'}",list of cleveland cavaliers broadcasters,1970s,"['year', 'channel']"
26442473-8,"[[[[0, 0], [2323606, 'WTAM']], [[1, 0], [2323606, 'WTAM']], [[2, 0], [2323606, 'WTAM']], [[3, 0], [2323606, 'WTAM']], [[4, 0], [2323606, 'WWWE']], [[5, 0], [2323606, 'WWWE']], [[6, 0], [2323606, 'WWWE']], [[7, 0], [2323606, 'WWWE']], [[8, 0], [2323606, 'WWWE']], [[9, 0], [2323606, 'WWWE']]]]","[['broadcast.radio_station', 'broadcast.broadcast']]",broadcast,"{'people', 'broadcast'}",list of cleveland cavaliers broadcasters,1990s,['flagship station']
26442473-9,"[[[[0, 0], [16266665, '1989-90']], [[1, 0], [16267263, '1988-89']], [[2, 0], [16274053, '1987-88']], [[3, 0], [31254418, '1986-87']], [[4, 0], [31276537, '1985-86']], [[5, 0], [31276559, '1984-85']], [[6, 0], [31276576, '1983-84']], [[7, 0], [31277187, '1982-83']], [[8, 0], [31648577, '1981-82']], [[9, 0], [31648503, '1980-81']]], [[[0, 1], [2323606, 'WWWE']], [[1, 1], [2323606, 'WWWE']], [[2, 1], [2323606, 'WWWE']], [[3, 1], [2323606, 'WWWE']], [[4, 1], [2323606, 'WWWE']], [[5, 1], [2323606, 'WWWE']], [[6, 1], [2323606, 'WWWE']], [[7, 1], [2323606, 'WWWE']], [[8, 1], [2323606, 'WWWE']], [[9, 1], [2323606, 'WWWE']]]]","[['time.event'], ['broadcast.radio_station', 'broadcast.broadcast']]",broadcast,"{'people', 'broadcast', 'time'}",list of cleveland cavaliers broadcasters,1980s,"['year', 'flagship station']"
26447048-1,"[[[[0, 0], [6434208, 'DZKB-TV']], [[1, 0], [22758294, 'DZBS-TV']], [[2, 0], [22785389, 'DWKI-TV']], [[3, 0], [22750508, 'DYKB-TV']], [[4, 0], [21978688, 'DYKC-TV']], [[5, 0], [12033385, 'DXXX-TV']], [[6, 0], [21979126, 'DXKO-TV']], [[7, 0], [11780798, 'DXWW-TV']]], [[[0, 1], [72340, 'Metro Manila']], [[1, 1], [162480, 'Baguio']], [[2, 1], [2138877, 'Iriga']], [[3, 1], [298840, 'Bacolod']], [[4, 1], [285868, 'Cebu']], [[5, 1], [25167165, 'Zamboanga']], [[6, 1], [25040821, 'Cagayan De Oro']], [[7, 1], [489401, 'Davao']]]]","[['broadcast.tv_station', 'broadcast.broadcast'], ['location.location']]",broadcast,"{'broadcast', 'location'}",list of radio philippines network affiliate stations,owned and operated stations,"['callsign', 'location (transmitter site)']"
57849-3,"[[[[0, 0], [17854925, 'WDCV']], [[1, 0], [1946572, 'WXPH']], [[2, 0], [12002192, 'WSYC']], [[3, 0], [3560831, 'WITF-FM']], [[4, 0], [7658369, 'WVMM']], [[5, 0], [1959094, 'WJAZ']], [[6, 0], [6548118, 'WTPA']], [[7, 0], [8663673, 'WKZF']], [[8, 0], [3193545, 'WWKL']], [[9, 0], [8663595, 'WRBT']], [[10, 0], [7011609, 'WLAN']], [[11, 0], [7011664, 'WRVV']], [[12, 0], [7025378, 'WYCR']], [[13, 0], [7011718, 'WQLV']], [[14, 0], [6548427, 'WHKF']], [[15, 0], [7011761, 'WQIC']], [[16, 0], [7011737, 'WROZ']], [[17, 0], [5746103, 'WARM']], [[18, 0], [6548938, 'WNNK']], [[19, 0], [6548812, 'WQXA']], [[20, 0], [3364748, 'WZCY-FM']], [[21, 0], [7041601, 'WGTY']]]]","[['broadcast.radio_station', 'broadcast.broadcast']]",broadcast,{'broadcast'},"harrisburg, pennsylvania",radio,['callsign']
57861-3,"[[[[0, 0], [2564778, 'WCHS *']], [[1, 0], [16347356, 'WKAZ *']], [[2, 0], [5740953, 'WBES *']], [[3, 0], [5753164, 'WSWW *']], [[4, 0], [6384824, 'WVPN *']], [[5, 0], [1547516, 'KLOVE']], [[6, 0], [6397315, 'WXAF *']], [[7, 0], [5695476, 'WZAC-FM']], [[8, 0], [5696889, 'WVTS-FM']], [[9, 0], [5667396, 'WKWS *']], [[10, 0], [5665400, 'WQBE-FM *']], [[11, 0], [3193388, 'WRVZ']], [[12, 0], [5669921, 'WVAF *']], [[13, 0], [5693396, 'WMXE']], [[14, 0], [5650825, 'WVSR-FM *']], [[15, 0], [5686152, 'WKLC-FM']], [[16, 0], [5822769, 'WAMX']], [[17, 0], [5672234, 'WKAZ-FM']]]]",[['broadcast.radio_station']],broadcast,{'broadcast'},"charleston, west virginia",radio,['call sign']
5786772-1,"[[[[0, 0], [37713, 'The Merchant of Venice']], [[1, 0], [652812, 'Twelfth Night']], [[2, 0], [25821, 'Romeo and Juliet']], [[6, 0], [62654, 'The Taming of the Shrew']], [[8, 0], [13554, 'Hamlet']], [[12, 0], [23454544, 'As You Like It']], [[15, 0], [324904, 'The Comedy of Errors']], [[19, 0], [8781048, 'Much Ado About Nothing']], [[20, 0], [201695, 'The Merry Wives of Windsor']]]]","[['book.book', 'theater.play']]",book,"{'theater', 'book'}",production history of the oregon shakespeare festival,the early years,['play']
579070-2,"[[[[0, 0], [920476, 'CJCL']], [[1, 0], [1230936, 'CFTR']], [[2, 0], [4794059, 'CFZM']], [[3, 0], [1873304, 'CJBC']], [[4, 0], [700857, 'CFRB']], [[5, 0], [1174324, 'CHUM']], [[6, 0], [2743335, 'CHKT']], [[7, 0], [3916226, 'CHIN']], [[8, 0], [4803679, 'CHHA']], [[9, 0], [9263669, 'CHTO']]]]",[['broadcast.radio_station']],broadcast,{'broadcast'},media in toronto,am,['call sign']
579070-3,"[[[[0, 0], [36992263, 'CIND-FM']], [[1, 0], [4793492, 'CIRV']], [[2, 0], [2028163, 'CIUT']], [[3, 0], [1873313, 'CJBC']], [[4, 0], [1024970, 'CJRT']], [[5, 0], [3916226, 'CHIN-1']], [[6, 0], [1916495, 'CKIS']], [[7, 0], [999622, 'CFXJ']], [[8, 0], [1585340, 'CBL']], [[9, 0], [4793429, 'CJKX-FM-2']], [[10, 0], [3453403, 'CFMZ']], [[11, 0], [2463574, 'CKHC']], [[12, 0], [1302625, 'CHBM']], [[13, 0], [2028197, 'CHFI']], [[14, 0], [32031038, 'CKFG']], [[15, 0], [1575305, 'CBLA']], [[16, 0], [2028150, 'CKFM']], [[17, 0], [3916562, 'CHIN']], [[18, 0], [4794267, 'CJSA']], [[19, 0], [3787334, 'CIRR']], [[20, 0], [2250569, 'CHUM']], [[21, 0], [1383685, 'CHOQ']], [[22, 0], [2223341, 'CHRY']], [[23, 0], [1261752, 'CKAV']], [[24, 0], [1302872, 'CILQ']]]]",[['broadcast.radio_station']],broadcast,{'broadcast'},media in toronto,fm,['call sign']
579070-4,"[[[[0, 0], [3917465, 'CIAO']], [[1, 0], [1232494, 'CFMJ']], [[2, 0], [4801049, 'WTOR']], [[3, 0], [4802792, 'CJYE']], [[4, 0], [4803084, 'CJMR']], [[5, 0], [4802606, 'CKDO']], [[6, 0], [20804092, 'CINA']]], [[[0, 2], [160084, 'Brampton']], [[1, 2], [221940, 'Richmond Hill']], [[2, 2], [126831, 'Youngstown, New York']], [[3, 2], [180181, 'Oakville']], [[4, 2], [160089, 'Mississauga']], [[5, 2], [180486, 'Oshawa']], [[6, 2], [160089, 'Mississauga']]]]","[['broadcast.radio_station'], ['location.citytown', 'location.location']]",broadcast,"{'business', 'broadcast', 'organization', 'location'}",media in toronto,am,"['call sign', 'location']"
5796241-1,"[[[[0, 2], [170326, 'Universal']], [[1, 2], [170326, 'Universal']], [[2, 2], [170326, 'Universal']], [[3, 2], [36437899, 'RKO']], [[4, 2], [175634, 'Columbia']], [[6, 2], [34052, 'Warner Bros.']], [[7, 2], [34052, 'Warner Bros.']], [[8, 2], [10574, 'First National']], [[9, 2], [34052, 'Warner Bros.']], [[10, 2], [10574, 'First National']], [[11, 2], [34052, 'Warner Bros.']], [[12, 2], [34052, 'Warner Bros.']], [[13, 2], [34052, 'Warner Bros.']], [[14, 2], [34052, 'Warner Bros.']], [[15, 2], [34052, 'Warner Bros.']], [[16, 2], [10574, 'First National']], [[17, 2], [34052, 'Warner Bros.']], [[18, 2], [10574, 'First National']], [[19, 2], [34052, 'Warner Bros.']], [[20, 2], [34052, 'Warner Bros.']], [[21, 2], [34052, 'Warner Bros.']], [[22, 2], [36437899, 'RKO']], [[23, 2], [34052, 'Warner Bros.']], [[24, 2], [34052, 'Warner Bros.']], [[25, 2], [34052, 'Warner Bros.']], [[26, 2], [34052, 'Warner Bros.']], [[27, 2], [34052, 'Warner Bros.']], [[28, 2], [34052, 'Warner Bros.']], [[29, 2], [34052, 'Warner Bros.']], [[30, 2], [34052, 'Warner Bros.']], [[31, 2], [34052, 'Warner Bros.']], [[32, 2], [34052, 'Warner Bros.']], [[33, 2], [34052, 'Warner Bros.']], [[34, 2], [34052, 'Warner Bros.']], [[35, 2], [34052, 'Warner Bros.']], [[36, 2], [34052, 'Warner Bros.']], [[37, 2], [34052, 'Warner Bros.']], [[38, 2], [34052, 'Warner Bros.']], [[39, 2], [34052, 'Warner Bros.']], [[40, 2], [34052, 'Warner Bros.']], [[41, 2], [34052, 'Warner Bros.']]]]",[['film.film_distributor']],film,"{'film', 'organization', 'business', 'people'}",bette davis filmography,1931–1939,['studio']
5796241-2,"[[[[0, 3], [34052, 'Warner Bros.']], [[1, 3], [34052, 'Warner Bros.']], [[2, 3], [34052, 'Warner Bros.']], [[3, 3], [34052, 'Warner Bros.']], [[4, 3], [34052, 'Warner Bros.']], [[5, 3], [36437899, 'RKO']], [[6, 3], [34052, 'Warner Bros.']], [[7, 3], [34052, 'Warner Bros.']], [[8, 3], [34052, 'Warner Bros.']], [[9, 3], [34052, 'Warner Bros.']], [[10, 3], [34052, 'Warner Bros.']], [[11, 3], [34052, 'Warner Bros.']], [[12, 3], [34052, 'Warner Bros.']], [[13, 3], [34052, 'Warner Bros.']], [[14, 3], [34052, 'Warner Bros.']], [[15, 3], [34052, 'Warner Bros.']], [[16, 3], [34052, 'Warner Bros.']], [[17, 3], [34052, 'Warner Bros.']], [[18, 3], [34052, 'Warner Bros.']], [[19, 3], [34052, 'Warner Bros.']]]]","[['film.production_company', 'film.film_distributor']]",film,"{'film', 'people', 'business', 'tv', 'organization'}",bette davis filmography,1940–1949,['studio']
5796241-3,"[[[[0, 3], [170318, '20th Century Fox']], [[1, 3], [36437899, 'RKO']], [[3, 3], [170318, '20th Century Fox']], [[4, 3], [170318, '20th Century Fox']], [[5, 3], [170318, '20th Century Fox']], [[6, 3], [58819, 'MGM']], [[7, 3], [175634, 'Columbia']], [[8, 3], [34052, 'Warner Bros.']], [[9, 3], [58819, 'MGM']]]]","[['film.production_company', 'film.film_distributor']]",film,"{'film', 'people', 'business', 'tv', 'organization'}",bette davis filmography,1950–1959,['studio']
5796241-5,"[[[[0, 2], [5821573, 'Hemdale']], [[1, 2], [203231, 'American International']], [[2, 2], [19179008, 'Dino de Laurentiis']], [[3, 2], [174319, 'United Artists']], [[4, 2], [1302479, 'Disney']], [[5, 2], [22918, 'Paramount']], [[6, 2], [231044, 'Lone Star']], [[7, 2], [1302479, 'Disney']], [[9, 2], [58819, 'MGM']]]]",[['film.production_company']],film,"{'film', 'organization', 'business', 'people'}",bette davis filmography,1970–1989,['studio']
580072-1,"[[[[0, 0], [14600073, 'NRK P1']], [[1, 0], [15619030, 'NRK P2']], [[2, 0], [18717573, 'NRK P3']], [[3, 0], [1945783, 'P4']], [[4, 0], [5102057, 'Radio Norge']]]]",[['broadcast.radio_station']],broadcast,{'broadcast'},list of norwegian-language radio stations,major analogue radio stations,['channel']
24528702-3,"[[[[0, 1], [44245, 'Ramayan']], [[1, 1], [44245, 'Ramayan']], [[2, 1], [44245, 'Ramayan']], [[3, 1], [44245, 'Ramayana']], [[4, 1], [44245, 'Ramayana']], [[5, 1], [44245, 'Ramayana']], [[6, 1], [44245, 'Ramayan']], [[7, 1], [44245, 'Ramayan']], [[8, 1], [44245, 'Ramayan']], [[9, 1], [44245, 'Ramayan']], [[10, 1], [44245, 'Ramayan']], [[11, 1], [44245, 'Ramayan']], [[12, 1], [44245, 'Ramayan']], [[13, 1], [44245, 'Ramayan']], [[14, 1], [44245, 'Ramayan']], [[15, 1], [44245, 'Ramayan']], [[16, 1], [44245, 'Ramayan']], [[17, 1], [44245, 'Ramayana']], [[18, 1], [44245, 'Ramayan']], [[19, 1], [44245, 'Ramayan']], [[20, 1], [44245, 'Ramayan']], [[21, 1], [44245, 'Ramayan']], [[22, 1], [44245, 'Ramayan']], [[23, 1], [44245, 'Ramayan']], [[24, 1], [44245, 'Ramayan']], [[25, 1], [44245, 'Ramayan']], [[26, 1], [44245, 'Ramayan']], [[27, 1], [44245, 'Ramayan']], [[28, 1], [44245, 'Ramayan']], [[29, 1], [44245, 'Ramayan']], [[30, 1], [44245, 'Ramayan']], [[31, 1], [44245, 'Ramayan']], [[32, 1], [44245, 'Ramayan']], [[33, 1], [44245, 'Ramayan']], [[34, 1], [44245, 'Ramayan']], [[35, 1], [44245, 'Ramayan']], [[36, 1], [44245, 'Ramayan']], [[37, 1], [44245, 'Ramayan']], [[38, 1], [44245, 'Ramayan']], [[39, 1], [44245, 'Ramayan']], [[40, 1], [44245, 'Ramayan']], [[41, 1], [44245, 'Ramayan']], [[42, 1], [44245, 'Ramayan']], [[43, 1], [44245, 'Ramayan']], [[44, 1], [44245, 'Ramayan']], [[45, 1], [44245, 'Ramayan']], [[46, 1], [44245, 'Ramayan']], [[47, 1], [44245, 'Ramayan']], [[48, 1], [44245, 'Ramayan']], [[49, 1], [44245, 'Ramayan']], [[50, 1], [44245, 'Ramayan']], [[51, 1], [44245, 'Ramayan']], [[52, 1], [44245, 'Ramayan']], [[53, 1], [44245, 'Ramayan']], [[54, 1], [44245, 'Ramayan']], [[55, 1], [44245, 'Ramayan']], [[56, 1], [44245, 'Ramayan']], [[57, 1], [44245, 'Ramayan']], [[58, 1], [44245, 'Ramayan']], [[59, 1], [44245, 'Ramayan']], [[60, 1], [44245, 'Ramayan']], [[61, 1], [44245, 'Ramayan']], [[62, 1], [44245, 'Ramayan']], [[63, 1], [44245, 'Ramayan']], [[64, 1], [44245, 'Ramayan']], [[65, 1], [44245, 'Ramayan']], [[66, 1], [44245, 'Ramayan']], [[67, 1], [44245, 'Ramayan']], [[68, 1], [44245, 'Ramayan']], [[69, 1], [44245, 'Ramayan']]], [[[0, 2], [44245, 'Kishkindha Kanda Sarga 1']], [[1, 2], [40753780, 'Aranya Kanda Sarga 11']], [[2, 2], [44245, 'Kishkindha Kanda Sarga 1']], [[3, 2], [44245, 'Kishkindha Kanda Sarga 1']], [[5, 2], [44245, 'Kishkindha Kanda Sarga 1']], [[6, 2], [44245, 'Kishkindha Kanda Sarga 1']], [[7, 2], [44245, 'Kishkindha Kanda Sarga 1']], [[8, 2], [44245, 'Kishkindha Kanda Sarga 1']], [[9, 2], [40753780, 'Aranya Kanda Sarga 73']], [[10, 2], [44245, 'Kishkindha Kanda Sarga 1']], [[11, 2], [40753780, 'Aranya Kanda Sarga 73']], [[12, 2], [44245, 'Kishkindha Kanda Sarga 42']], [[13, 2], [44245, 'Kishkindha Kanda Sarga 1']], [[14, 2], [40753780, 'Aranya Kanda Sarga 73']], [[15, 2], [40753780, 'Aranya Kanda Sarga 15']], [[16, 2], [40753780, 'Aranya Kanda Sarga 73']], [[17, 2], [44245, 'Kishkindha Kanda Sarga 1']], [[18, 2], [44245, 'Kishkindha Kanda Sarga 1']], [[19, 2], [44245, 'Kishkindha Kanda Sarga 43']], [[20, 2], [40753780, 'Aranya Kanda Sarga 11']], [[21, 2], [40753780, 'Aranya Kanda Sarga 15']], [[22, 2], [40753780, 'Aranya Kanda Sarga 73']], [[23, 2], [40753780, 'Aranya Kanda Sarga 73']], [[24, 2], [44245, 'Kishkindha Kanda Sarga 1']], [[25, 2], [40753780, 'Aranya Kanda Sarga 15']], [[26, 2], [44245, 'Kishkindha Kanda Sarga 1']], [[27, 2], [40753780, 'Aranya Kanda Sarga 15']], [[28, 2], [17042258, 'Bala Kanda Sarga 24']], [[29, 2], [40753780, 'Aranya Kanda Sarga 11']], [[30, 2], [40753780, 'Aranya Kanda Sarga 73']], [[31, 2], [40753780, 'Aranya Kanda Sarga 73']], [[32, 2], [40753780, 'Aranya Kanda Sarga 15']], [[33, 2], [44245, 'Kishkindha Kanda Sarga 42']], [[34, 2], [44245, 'Kishkindha Kanda Sarga 1']], [[35, 2], [44245, 'Kishkindha Kanda Sarga 1']], [[36, 2], [40753780, 'Aranya Kanda Sarga 11']], [[37, 2], [40753780, 'Aranya Kanda Sarga 15']], [[38, 2], [44245, 'Kishkindha Kanda Sarga 40']], [[39, 2], [44245, 'Kishkindha Kanda Sarga 1']], [[40, 2], [40753780, 'Aranya Kanda Sarga 15']], [[41, 2], [40753780, 'Aranya Kanda Sarga 15']], [[42, 2], [44245, 'Yuddha Kanda Sarga 89']], [[43, 2], [44245, 'Kishkindha Kanda Sarga 1']], [[44, 2], [44245, 'Kishkindha Kanda Sarga 1']], [[45, 2], [44245, 'Kishkindha Kanda Sarga 1']], [[46, 2], [44245, 'Kishkindha Kanda Sarga 1']], [[47, 2], [40753780, 'Aranya Kanda Sarga 73']], [[48, 2], [44245, 'Kishkindha Kanda Sarga 1']], [[49, 2], [40753780, 'Aranya Kanda Sarga 15']], [[50, 2], [40753780, 'Aranya Kanda Sarga 15']], [[51, 2], [44245, 'Kishkindha Kanda Sarga 40']], [[52, 2], [44245, 'Kishkindha Kanda Sarga 42']], [[53, 2], [40753780, 'Aranya Kanda Sarga 15']], [[54, 2], [44245, 'Kishkindha Kanda Sarga 40']], [[55, 2], [44245, 'Kishkindha Kanda Sarga 42']], [[56, 2], [44245, 'Kishkindha Kanda Sarga 1']], [[57, 2], [44245, 'Kishkindha Kanda Sarga 1']], [[58, 2], [40753780, 'Aranya Kanda Sarga 15']], [[59, 2], [40753780, 'Aranya Kanda Sarga 73']], [[60, 2], [40753780, 'Aranya Kanda Sarga 11']], [[61, 2], [17042258, 'Bala Kanda Sarga 24']], [[62, 2], [40753780, 'Aranya Kanda Sarga 73']], [[63, 2], [40753780, 'Aranya Kanda Sarga 15']], [[64, 2], [44245, 'Kishkindha Kanda Sarga 1']], [[65, 2], [44245, 'Kishkindha Kanda Sarga 1']], [[66, 2], [44245, 'Kishkindha Kanda Sarga 42']], [[67, 2], [44245, 'Kishkindha Kanda Sarga 1']], [[68, 2], [44245, 'Kishkindha Kanda Sarga 42']], [[69, 2], [44245, 'Kishkindha Kanda Sarga 1']]]]","[['book.book'], ['book.book']]",book,"{'book', 'location', 'biology'}",flora of the indian epic period,list of plants m-z in ramayana,"['indian epic', 'sarga']"
24535653-3,"[[[[0, 0], [30428394, '2010 (25th)']], [[1, 0], [30428394, '2010 (25th)']], [[2, 0], [30428394, '2010 (25th)']], [[3, 0], [30428394, '2010 (25th)']], [[4, 0], [34342444, '2011 (26th)']], [[5, 0], [34342444, '2011 (26th)']], [[6, 0], [34342444, '2011 (26th)']], [[7, 0], [34342444, '2011 (26th)']], [[8, 0], [37852799, '2012 (27th)']], [[9, 0], [37852799, '2012 (27th)']], [[10, 0], [37852799, '2012 (27th)']], [[11, 0], [37852799, '2012 (27th)']]]]","[['award.award_ceremony', 'time.event']]",film,"{'film', 'award', 'people', 'time'}",goya award for best new actor,2010s,['year']
24558503-1,"[[[[3, 0], [2315194, 'Moqueca']], [[4, 0], [5503065, 'Pamonha']], [[7, 0], [5672169, 'Vatapá']]]]",[['food.food']],food,{'food'},list of dishes using coconut milk,brazilian,['name']
24558503-2,"[[[[0, 0], [38940, 'A dessert made from banana boiled in coconut milk and sugar.']], [[1, 0], [182802, 'A snack made of sticky rice, butter, coconut milk, similar to Indian halwa . Burmese halawa usually contains s poppy seed and is brown in color.']], [[3, 0], [57448, 'Tapioca balls, glutinous rice , grated coconut and toasted sesame with jaggery syrup in coconut milk']], [[5, 0], [502185, 'Curried chicken and wheat noodles in a coconut milk broth']], [[6, 0], [443480, 'Unsweet cake of semolina , coconut milk, and poppy seeds']], [[7, 0], [3262, 'A dessert prepared with agar jelly, tapioca and sago in coconut milk']]]]",[['food.food']],food,{'food'},list of dishes using coconut milk,burmese,['description']
24558503-4,"[[[[1, 0], [12130512, 'Espasol']], [[7, 0], [2089946, 'Halo-halo']], [[8, 0], [57078, 'Laing']], [[9, 0], [32303978, 'Maja blanca']], [[10, 0], [2676972, 'Pancit Butong']]]]",[['food.food']],food,{'food'},list of dishes using coconut milk,filipino,['name']
24558503-8,"[[[[0, 0], [28861395, 'Coconut cake']], [[1, 0], [743327, 'Coconut milk']], [[5, 0], [17254188, 'Milk Rice']], [[6, 0], [36041460, 'Pol Pani']], [[7, 0], [23501, 'Potato']], [[11, 0], [9940234, 'Tomato sambol']], [[12, 0], [16014187, 'Watalappam']]]]",[['food.food']],food,{'food'},list of dishes using coconut milk,sri lankan,['name']
24558503-9,"[[[[0, 0], [13842321, 'Coconut pudding']], [[1, 0], [13439573, 'Coconut rice']], [[2, 0], [3257712, 'Green curry']], [[3, 0], [48212, 'Ice Cream']], [[4, 0], [3308164, 'Massaman curry']], [[5, 0], [35700698, 'Thai satay sauce']], [[6, 0], [16859606, 'Phanaeng curry']], [[8, 0], [743253, 'Red curry']], [[9, 0], [1450149, 'Tapioca pudding']], [[10, 0], [7966341, 'Thai Shaved Ice or Nam Kang Sai']], [[11, 0], [404895, 'Tom Kha ""coconut soup""']], [[12, 0], [5829714, 'Yellow curry']]]]",[['food.food']],food,{'food'},list of dishes using coconut milk,thai,['name']
31573343-2,"[[[[0, 2], [17479322, 'Sadhu Kokila']], [[2, 2], [6541034, 'V. Manohar']], [[3, 2], [36333096, 'Rajesh Ramanath']], [[4, 2], [13474968, 'Mano Murthy']], [[7, 2], [19943708, 'S. A. Rajkumar']], [[8, 2], [5752457, 'Hamsalekha']], [[11, 2], [6541034, 'V. Manohar']], [[13, 2], [5752457, 'Hamsalekha']], [[14, 2], [5752457, 'Hamsalekha']], [[15, 2], [1639040, 'Deva']], [[16, 2], [17479322, 'Sadhu Kokila']], [[18, 2], [5752457, 'Hamsalekha']], [[19, 2], [11396362, 'Gurukiran']], [[20, 2], [6541034, 'V. Manohar']], [[22, 2], [5752457, 'Hamsalekha']], [[25, 2], [5752457, 'Hamsalekha']], [[27, 2], [7175938, 'Ilayaraja']], [[28, 2], [17479322, 'Sadhu Kokila']], [[29, 2], [11396362, 'Gurukiran']], [[30, 2], [5752457, 'Hamsalekha']], [[31, 2], [7877779, 'R. P. Patnaik']], [[35, 2], [11396362, 'Gurukiran']], [[36, 2], [6541034, 'V. Manohar']], [[37, 2], [36333096, 'Rajesh Ramanath']], [[38, 2], [11396362, 'Gurukiran']], [[39, 2], [36333096, 'Rajesh Ramanath']]]]",[['film.music_contributor']],film,"{'film', 'people', 'music'}",list of kannada films of 2003,july - december,['music director']
3157495-1,"[[[[0, 0], [6026387, 'The Winning Side']], [[2, 0], [6043157, 'The Clockwork Woman']], [[3, 0], [6043146, 'Kitsune']], [[4, 0], [6043134, 'The Severed Man']], [[5, 0], [6043127, 'Echoes']], [[6, 0], [6042010, 'Peculiar Lives']], [[7, 0], [6041773, 'Deus Le Volt']], [[8, 0], [6012159, ""The Albino's Dancer""]], [[9, 0], [8627794, 'The Sideways Door']]]]",[['book.book']],book,"{'people', 'book'}",time hunter,novellas,['title']
